zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
1003,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1004,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
983,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
984,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
985,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
986,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
987,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
988,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
1005,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1007,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1008,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1009,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1010,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1011,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1012,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1013,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1014,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1020,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
1021,58.864,177.368,177.368,14.716,44.342,44.342,99205,19.112,144.84,103.48,4.778,36.21,25.87,99214
